"Date","Day","Symbol","Type","Setup","Position","Entry Price","Exit Price","Stop Loss","Quantity","Fees","P&L","R-Factor","Win/Loss","Confidence","Time Frame","Limit","Exit Level","Mistake Tag"
"2026-02-02","Monday","NIFTY","Intraday","0.382 Fib","Buy","N/A","N/A","$0.17","65","$62.00","$-1524.00","-1.00","Loss","5","5m","L0.382","L0","No mistake (good loss)"
"2026-02-03","Tuesday","NIFTY","Intraday","0.382 Fib","Buy","N/A","N/A","$0.17","65","$68.00","$481.00","0.50","Win","5","5m","L0.382","L0","Early exit"
"2026-02-04","Wednesday","NIFTY","Intraday","0.382 Fib","Buy","N/A","N/A","$0.17","65","$133.00","$1059.00","1.50","Win","5","5m","L0.382","L0",""
"2026-02-05","Thursday","NIFTY","Intraday","0.382 Fib","Buy","N/A","N/A","$0.17","65","$27.00","$1092.00","1.90","Win","5","5m","L0.382","L0.786",""
"2026-02-06","Friday","NIFY","Intraday","FOMO","Buy","N/A","N/A","$0.00","650","$370.00","$-2410.00","-3.00","Loss","5","5m","L0.283","L0",""
"2026-02-07","Saturday","SOLANA","Intraday","PINBAR FAILURE","Buy","N/A","N/A","$0.00","1","$0.00","$-70.00","-1.00","Loss","5","15m","L0.382","L1.27",""
"2026-02-08","Sunday","SOLANA","Intraday","0.382 Fib","Buy","N/A","N/A","$0.00","12","$85.00","$250.00","2.65","Win","5","15m","L0.382","L1.27","No mistake (good loss)"
"2026-02-08","Sunday","SOLANA","Intraday","SUPPORT","Buy","N/A","N/A","$0.00","3","$20.00","$-80.00","-1.00","Loss","5","5m","L0","L0.283","No mistake (good loss)"
"2026-02-09","Monday","NIFTYCALL","Intraday","PINBAR","Buy","N/A","N/A","$0.00","65","$65.00","$887.00","1.00","Win","5","10m","L0","L2.7","Early exit"
"2026-02-09","Monday","SOLANA","Intraday","PINBAR","Buy","N/A","N/A","$250.00","8","$20.00","$-2.50","-1.00","Loss","5","5m","L0.382","L0",""
"2026-02-09","Monday","SOLANA","Intraday","PINBAR","Buy","N/A","N/A","$0.00","1","$10.00","$-114.00","-1.00","Loss","5","1h","L0.5","L0","No mistake (good loss)"
"2026-02-09","Monday","NIFTYPUT","Intraday","0.382 Fib","Buy","N/A","N/A","$0.00","65","$65.00","$-802.00","-1.00","Loss","3","5m","L0.382","L0","No mistake (good loss)"
"2026-02-10","Tuesday","NIFTYCALL","Intraday","PINBAR","Buy","N/A","N/A","$800.00","65","$72.00","$743.00","1.00","Win","3","5m","L0","L2","Late entry"
"2026-02-10","Tuesday","SOLANA","Intraday","BEARISH REVERSE PINBAR","Buy","N/A","N/A","$0.00","1","$30.00","$508.00","2.60","Win","4","1h","L0.382","L1.4","Early exit"
"2026-02-10","Tuesday","SOLANA","Intraday","SUPPORT","Buy","N/A","N/A","$0.00","7","$0.13","$-1.79","-1.50","Loss","5","15M","L0.382","L0","Late entry"
"2026-02-10","Tuesday","SOLANA","Intraday","PINBAR","Sell","N/A","N/A","$0.00","9","$0.17","$-1.52","-0.60","Loss","5","15m","L0.382","L0.283",""
"2026-02-11","Wednesday","NIFTYCALL","Scalping","0.382 Fib","Buy","N/A","N/A","$0.17","195","$100.00","$940.00","1.80","Win","5","1m","L0.382","L0.702","SL hunt fear"
"2026-02-12","Thursday","NIFTY","Scalping","PINBAR","Buy","N/A","N/A","$0.17","130","$70.00","$570.00","1.70","Win","5","15m","L0.382","L0.702","Early exit"